id,title,project,stage,state,customer,start_date,deadline,assignees,priority,tags,description,parent_task
1,Furnitures,Renovations,In Progress (Renovations),In Progress,Wood Corner,21/03/2025,15/05/2025,Gabriel Schenk,Low priority,"Client, Development","Dự án: Renovations
Tên tác vụ: Furnitures
Mức độ ưu tiên: Low priority
Mô tả: Lựa chọn và chuẩn bị các loại nội thất phù hợp cho không gian được cải tạo, đảm bảo phong cách, chất lượng và ngân sách phù hợp với yêu cầu dự án. Hoàn thành công việc này trong khoảng thời gian cho phép để hỗ trợ giai đoạn hoàn thiện cuối cùng của dự án.",Client Meeting - 17
2,Painting,Home Construction,New (Home Construction),Done,Azure Interior,03/02/2026,11/03/2026,"Emma Duncan, Joshua Quinn",Urgent,Review,Must coordinate with electrical team,Demolition - Subtask 53
3,Drywall Installation,Home Construction,New (Home Construction),Cancelled,"Lumber Inc, ASUSTeK",10/01/2026,21/01/2026,"Brittany Andrews, Samuel Jenkins",Medium priority,"Testing, Client, Design","Project: Home Construction
Task: Drywall Installation
Priority: Medium
Description: Tiến hành lắp đặt tấm drywall theo bản vẽ kỹ thuật, đảm bảo các bức tường được lắp chặt khít và thẳng hàng với các khung kết cấu. Hoàn thiện việc tape và putty trên các mối nối drywall để chuẩn bị cho sơn và hoàn thiện bề mặt cuối cùng.",Bug Fixing - Subtask 83
4,Upselling Opportunity,Sales Pipeline,Lost (Sales),Cancelled,"The Jackson Group, Brandon Freeman",14/01/2026,16/02/2026,Maryse Philippe,High priority,Budget,Custom requirements discussed,Demolition - Subtask 80
5,Flooring Upgrade,Renovations,In Progress (Renovations),In Progress,"Bright Solutions, China Export",15/01/2026,02/02/2026,"Horst Schäfer, Naman Subramanian",Urgent,"Testing, Work",Must be done <b>before</b> plumbing,Drywall Installation - Subtask 72
6,Workflow Setup,ERP Implementation,Deployment (ERP),In Progress,"ASUSTeK, Azure Interior",16/02/2026,18/03/2026,Clara Morales,High priority,Training,User acceptance pending,Bug Fixing - Subtask 67
7,Partnership Discussion,Sales Pipeline,Lead (Sales),Changes Requested,"The Jackson Group, Bright Solutions",22/10/2025,13/11/2025,Lois Bosman,High priority,Interior,Custom requirements discussed,Reference Check - 52
8,Lighting Fixtures,Renovations,Done (Renovations),Done,Camptocamp,21/04/2025,07/05/2025,Ume Kondo,Medium priority,Development,Material samples pending,Permit Approval - 18
9,Final Approval,Sales Pipeline,Lost (Sales),Cancelled,Lumber Inc,10/01/2026,21/01/2026,Hae-young Yoon,Urgent,"Training, Meeting, Review",Custom requirements discussed,Subcontractor Coordination - 86
10,Electrical Wiring,Home Construction,Cancelled (Home Construction),Changes Requested,Delta PC,06/01/2026,06/02/2026,Lara Bieri,High priority,Budget,"Project: Home Construction
Task: Electrical Wiring
Priority: High priority

Description: Thực hiện lắp đặt hệ thống dây điện, ống dẫn, và các thiết bị điện theo thiết kế kỹ thuật và tiêu chuẩn an toàn. Đảm bảo toàn bộ công việc được hoàn thành đúng quy chuẩn, an toàn điện và đáp ứng các yêu cầu của dự án xây dựng nhà ở.",Demolition - Subtask 14
