id,name,company_type,related_company,email,phone,street,street2,city,state,zip,country,tax_id,website,tags,reference,notes
1,United Enterprises,Company,"""""",sales@unitedenterprises.com,+1 9000082072,Kennedy Road 55,"""""",Kirkland,Quebec,H9J,CA,"""""",https://www.unitedenterprises.com,"""""",CUST100001,""""""
2,Innovative Design,Company,"""""",hello@innovativedesign.com,+44 0492936006,Abbey Road 126,"""""",Meliden,Wales,LL19,GB,"""""","""""","Healthcare,Wholesaler",CUST100002,Priority support
3,Creative Tech,Company,"""""",sales@creativetech.com,"""""",Torsgatan 184,"""""",Kristinehamn,Värmland,681 84,SE,SE752576227,https://www.creativetech.com,Desk Manufacturers,CUST100003,""""""
4,Prime Software,Company,"""""",info@primesoftware.com,+33 912502985,Avenue Kléber 17,"""""",La Chapelle-Montmartin,Centre-Val de Loire,41320,FR,FR242963771,https://www.primesoftware.com,Supplier,CUST100004,""""""
5,Pacific Enterprises,Company,"""""",hello@pacificenterprises.com,+65 73544182,Newton Road 19,"""""",Jalan Naga Sari,"""""",288836,SG,SG196134728,https://www.pacificenterprises.com,"""""",CUST100005,Long-term partner
6,Metro Consulting,Company,"""""",sales@metroconsulting.com,+49 4932855151,Rembrandtstraße 168,"""""",Heilsbronn,Bayern,91560,DE,DE979047036,https://www.metroconsulting.com,Agency,CUST100006,""""""
7,Pacific Inc,Company,"""""",info@pacificinc.com,+46 894314282,Hagagatan 163,"""""",Sunne,Värmland,686 34,SE,SE138720299,https://www.pacificinc.com,"Marketing,Wholesaler",CUST100007,""""""
8,Central Partners,Company,"""""",support@centralpartners.com,+61 672902071,Smith Street 154,Floor 15,Shortland,New South Wales,2307,AU,"""""",https://www.centralpartners.com,Wholesaler,CUST100008,""""""
9,Innovative Dynamics,Company,"""""",support@innovativedynamics.com,+39 9460027424,Piazza Mazzini 172,"""""",Spezzano Albanese Stazione,Calabria,87019,IT,IT280829265,https://www.innovativedynamics.com,"Desk Manufacturers,Partner",CUST100009,""""""
10,Asia Services,Company,"""""",info@asiaservices.com,+46 786997813,Päronvägen 59,"""""",Borås,Västra Götaland,508 87,SE,SE616589225,https://www.asiaservices.com,"Finance,Wholesaler",CUST100010,""""""
11,Asia Labs,Company,"""""",info@asialabs.com,+41 364647656,Gotthardstrasse 171,"""""",Solduno,Ticino,6600,CH,CH811278318,https://www.asialabs.com,"Legal,Partner",CUST100011,""""""
12,Smart Interiors,Company,"""""",contact@smartinteriors.com,+39 6785009554,Via Garibaldi 96,Floor 17,Telese Terme,Campania,82037,IT,IT014121770,"""""","Contractor,Healthcare",CUST100012,""""""
